timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1749038368009,6175,HTTP Request,200,OK,Thread Group 1-100,text,true,,1238832,114,100,100,https://bobobobo.com/,182,0,59
1749038361911,12360,HTTP Request,200,OK,Thread Group 1-39,text,true,,1238832,114,100,100,https://bobobobo.com/,1003,0,914
1749038361411,13056,HTTP Request,200,OK,Thread Group 1-34,text,true,,1238819,114,100,100,https://bobobobo.com/,257,0,166
1749038365609,8922,HTTP Request,200,OK,Thread Group 1-76,text,true,,1238856,114,100,100,https://bobobobo.com/,141,0,54
1749038365409,9215,HTTP Request,200,OK,Thread Group 1-74,text,true,,1238822,114,100,100,https://bobobobo.com/,131,0,63
1749038367009,7632,HTTP Request,200,OK,Thread Group 1-90,text,true,,1238820,114,100,100,https://bobobobo.com/,2431,0,387
1749038371744,3085,HTTP Request,200,OK,Thread Group 1-10,text,true,,1238814,114,100,100,https://bobobobo.com/,453,0,0
1749038360153,14689,HTTP Request,200,OK,Thread Group 1-9,text,true,,1238835,114,100,100,https://bobobobo.com/,107,0,0
1749038372369,2510,HTTP Request,200,OK,Thread Group 1-13,text,true,,1238829,114,100,100,https://bobobobo.com/,285,0,0
1749038371209,3740,HTTP Request,200,OK,Thread Group 1-81,text,true,,1238824,114,100,100,https://bobobobo.com/,395,0,0
1749038367432,7547,HTTP Request,200,OK,Thread Group 1-58,text,true,,1238828,114,100,100,https://bobobobo.com/,341,0,0
1749038365268,9822,HTTP Request,200,OK,Thread Group 1-26,text,true,,1238830,114,100,100,https://bobobobo.com/,154,0,0
1749038370050,5051,HTTP Request,200,OK,Thread Group 1-96,text,true,,1238830,114,100,100,https://bobobobo.com/,268,0,0
1749038371530,3585,HTTP Request,200,OK,Thread Group 1-93,text,true,,1238823,114,100,100,https://bobobobo.com/,511,0,0
1749038364809,10445,HTTP Request,200,OK,Thread Group 1-68,text,true,,1238831,114,100,100,https://bobobobo.com/,2187,0,301
1749038362511,12766,HTTP Request,200,OK,Thread Group 1-45,text,true,,1238836,114,100,100,https://bobobobo.com/,194,0,122
1749038369005,6393,HTTP Request,200,OK,Thread Group 1-82,text,true,,1238821,114,100,100,https://bobobobo.com/,324,0,0
1749038364653,10758,HTTP Request,200,OK,Thread Group 1-25,text,true,,1238808,114,100,100,https://bobobobo.com/,135,0,0
1749038366810,8680,HTTP Request,200,OK,Thread Group 1-88,text,true,,1238836,114,100,100,https://bobobobo.com/,611,0,404
1749038372858,2839,HTTP Request,200,OK,Thread Group 1-89,text,true,,1238806,114,100,100,https://bobobobo.com/,224,0,0
1749038373924,1781,HTTP Request,200,OK,Thread Group 1-84,text,true,,1238820,114,100,100,https://bobobobo.com/,200,0,0
1749038365010,10768,HTTP Request,200,OK,Thread Group 1-70,text,true,,1238843,114,100,100,https://bobobobo.com/,385,0,56
1749038373961,1849,HTTP Request,200,OK,Thread Group 1-12,text,true,,1238808,114,100,100,https://bobobobo.com/,223,0,0
1749038366974,8877,HTTP Request,200,OK,Thread Group 1-16,text,true,,1238836,114,100,100,https://bobobobo.com/,301,0,0
1749038368134,7727,HTTP Request,200,OK,Thread Group 1-31,text,true,,1238817,114,100,100,https://bobobobo.com/,221,0,0
1749038367408,8523,HTTP Request,200,OK,Thread Group 1-94,text,true,,1238824,114,100,100,https://bobobobo.com/,330,0,250
1749038363211,12870,HTTP Request,200,OK,Thread Group 1-52,text,true,,1238854,114,100,100,https://bobobobo.com/,157,0,76
1749038368375,7708,HTTP Request,200,OK,Thread Group 1-59,text,true,,1238812,114,100,100,https://bobobobo.com/,155,0,0
1749038373161,2968,HTTP Request,200,OK,Thread Group 1-11,text,true,,1238828,114,100,100,https://bobobobo.com/,233,0,0
1749038372965,3327,HTTP Request,200,OK,Thread Group 1-87,text,true,,1238835,114,100,100,https://bobobobo.com/,267,0,0
1749038365810,10562,HTTP Request,200,OK,Thread Group 1-78,text,true,,1238829,114,100,100,https://bobobobo.com/,158,0,66
1749038366870,9792,HTTP Request,200,OK,Thread Group 1-48,text,true,,1238833,114,100,100,https://bobobobo.com/,277,0,0
1749038369090,7577,HTTP Request,200,OK,Thread Group 1-43,text,true,,1238830,114,100,100,https://bobobobo.com/,341,0,0
1749038368922,7766,HTTP Request,200,OK,Thread Group 1-53,text,true,,1238815,114,100,100,https://bobobobo.com/,184,0,0
1749038368706,8014,HTTP Request,200,OK,Thread Group 1-60,text,true,,1238820,114,100,100,https://bobobobo.com/,109,0,0
1749038373172,3571,HTTP Request,200,OK,Thread Group 1-85,text,true,,1238817,114,100,100,https://bobobobo.com/,270,0,0
1749038366692,10243,HTTP Request,200,OK,Thread Group 1-47,text,true,,1238814,114,100,100,https://bobobobo.com/,261,0,0
1749038374879,2255,HTTP Request,200,OK,Thread Group 1-13,text,true,,1238824,114,100,100,https://bobobobo.com/,197,0,0
1749038366012,11166,HTTP Request,200,OK,Thread Group 1-33,text,true,,1238829,114,100,100,https://bobobobo.com/,212,0,0
1749038367210,9981,HTTP Request,200,OK,Thread Group 1-92,text,true,,1238827,114,100,100,https://bobobobo.com/,456,0,311
1749038367910,9341,HTTP Request,200,OK,Thread Group 1-99,text,true,,1238823,114,100,100,https://bobobobo.com/,168,0,84
1749038369277,8033,HTTP Request,200,OK,Thread Group 1-56,text,true,,1238820,114,100,100,https://bobobobo.com/,271,0,0
1749038366726,10617,HTTP Request,200,OK,Thread Group 1-27,text,true,,1238827,114,100,100,https://bobobobo.com/,284,0,0
1749038368359,8994,HTTP Request,200,OK,Thread Group 1-20,text,true,,1238831,114,100,100,https://bobobobo.com/,466,0,0
1749038373290,4078,HTTP Request,200,OK,Thread Group 1-86,text,true,,1238813,114,100,100,https://bobobobo.com/,204,0,0
1749038367110,10304,HTTP Request,200,OK,Thread Group 1-91,text,true,,1238837,114,100,100,https://bobobobo.com/,1314,0,368
1749038367448,9997,HTTP Request,200,OK,Thread Group 1-49,text,true,,1238808,114,100,100,https://bobobobo.com/,311,0,0
1749038369329,8126,HTTP Request,200,OK,Thread Group 1-75,text,true,,1238843,114,100,100,https://bobobobo.com/,266,0,0
1749038365309,12364,HTTP Request,200,OK,Thread Group 1-73,text,true,,1238815,114,100,100,https://bobobobo.com/,2093,0,1890
1749038374829,2904,HTTP Request,200,OK,Thread Group 1-10,text,true,,1238829,114,100,100,https://bobobobo.com/,203,0,0
1749038375811,1926,HTTP Request,200,OK,Thread Group 1-12,text,true,,1238840,114,100,100,https://bobobobo.com/,236,0,0
1749038369442,8344,HTTP Request,200,OK,Thread Group 1-62,text,true,,1238845,114,100,100,https://bobobobo.com/,345,0,0
1749038369677,8139,HTTP Request,200,OK,Thread Group 1-57,text,true,,1238851,114,100,100,https://bobobobo.com/,384,0,0
1749038369578,8456,HTTP Request,200,OK,Thread Group 1-3,text,true,,1238804,114,100,100,https://bobobobo.com/,387,0,0
1749038368809,9256,HTTP Request,200,OK,Thread Group 1-40,text,true,,1238821,114,100,100,https://bobobobo.com/,244,0,0
1749038366670,11518,HTTP Request,200,OK,Thread Group 1-32,text,true,,1238830,114,100,100,https://bobobobo.com/,293,0,0
1749038367516,10722,HTTP Request,200,OK,Thread Group 1-35,text,true,,1238831,114,100,100,https://bobobobo.com/,227,0,0
1749038368029,10245,HTTP Request,200,OK,Thread Group 1-38,text,true,,1238835,114,100,100,https://bobobobo.com/,317,0,0
1749038374842,3433,HTTP Request,200,OK,Thread Group 1-9,text,true,,1238827,114,100,100,https://bobobobo.com/,187,0,0
